Tempo (UTC),East (G),North (G),Down (G)
2025-06-05T20:05:30,0.022318631970466612,0.0727008206012208,0.48112699493653555
2025-06-05T20:06:24,0.017284669816141306,0.06151999486979039,0.485159291676251
2025-06-05T20:07:18,0.01179680075548307,0.051273766915354076,0.48837375999510013
2025-06-05T20:08:12,0.005933284718776276,0.041764931662305264,0.4911989324081568
2025-06-05T20:09:06,4.450764938172759e-05,0.032644406066639944,0.4939505431498887
2025-06-05T20:10:00,-0.0043093819862227885,0.023936218757539134,0.4967955179194138
2025-06-05T20:10:54,-0.004239548933647405,0.01811810949511353,0.4997365484889581
2025-06-05T20:11:48,-0.0001539208257542134,0.018658150990999718,0.5026153075430724
2025-06-05T20:12:42,0.004967596768348007,0.024942914173409193,0.5051315515717889
2025-06-05T20:13:36,0.009756760854022113,0.03501816728870652,0.5068755661590778
2025-06-05T20:14:30,0.013908063655962165,0.04775785578391713,0.5073712679286213
2025-06-05T20:15:24,0.01735127248641165,0.06258763163566121,0.5061259888768798
2025-06-05T20:16:18,0.020046098091024,0.07911845784984384,0.5026807975933811
2025-06-05T20:17:12,0.02195970844902709,0.09699624072044996,0.49665336203460286
2025-06-05T20:18:06,0.023077307112126966,0.1158644524468941,0.48776529330009805
2025-06-05T20:19:00,0.023413333337219254,0.13537329290569286,0.4758484983977057
2025-06-05T20:19:54,0.02301656954764227,0.1552018308071517,0.4608300160071271
2025-06-05T20:20:48,0.021968371958861806,0.17507439661707777,0.44270065864424124
2025-06-05T20:21:42,0.020375122332196106,0.19476153004527705,0.42147750639066234
2025-06-05T20:22:36,0.018356736813030686,0.21406350180127925,0.3971721489279756
2025-06-05T20:23:30,0.016033244452143183,0.2327810183822919,0.36977483651067744
2025-06-05T20:24:24,0.013511313359300607,0.2506820508453037,0.33925996276500603
2025-06-05T20:25:18,0.01087235332916365,0.26747492055452055,0.3056121757866242
2025-06-05T20:26:12,0.008163573534633683,0.2827958678102741,0.26886686666880977
2025-06-05T20:27:06,0.005393120908696624,0.29621530940579266,0.2291553888277592
2025-06-05T20:28:00,0.0025300843082008066,0.30726236161214,0.18674478355477944
2025-06-05T20:28:54,-0.0004903674642556048,0.3154633877609452,0.1420636923279858
2025-06-05T20:29:48,-0.003757151237041824,0.3203881809549447,0.09570948956687406
2025-06-05T20:30:42,-0.0073699661522259275,0.32169701767169434,0.04843524994547237
2025-06-05T20:31:36,-0.011424426696442544,0.3191827128827582,0.0011180507255592535
2025-06-05T20:32:30,-0.01599788783425426,0.31280321502816205,-0.04528805665058902
2025-06-05T20:33:24,-0.02113809987139634,0.30270157739409936,-0.0898101133698247
2025-06-05T20:34:18,-0.026856242519722212,0.2892110908828139,-0.13152052631699415
2025-06-05T20:35:12,-0.033124979491149016,0.2728441270146806,-0.16960218837080648
2025-06-05T20:36:06,-0.03988119873025358,0.25426421063269794,-0.20340846895563153
2025-06-05T20:37:00,-0.04703232259999303,0.2342423599762607,-0.2325116491554962
2025-06-05T20:37:54,-0.05446466813130609,0.21360084778303584,-0.2567335857660769
2025-06-05T20:38:48,-0.06205234944329292,0.19314991289494524,-0.27615371788013315
2025-06-05T20:39:42,-0.06966553963666572,0.1736249438707103,-0.2910921465137742
