Tempo (UTC),East (G),North (G),Down (G)
2025-06-05T20:05:30,-0.029327069618390395,0.09152316330913231,-0.17160323623480764
2025-06-05T20:06:24,-0.030222553835918653,0.08838264727938092,-0.1702429416433905
2025-06-05T20:07:18,-0.030741528028560696,0.08642890268634697,-0.16973553110110448
2025-06-05T20:08:12,-0.030928889335706783,0.08580698962580534,-0.1699348848233892
2025-06-05T20:09:06,-0.030796670804174264,0.08668408036306234,-0.17064324069185788
2025-06-05T20:10:00,-0.030335174316398504,0.08923983845124837,-0.17158835292118055
2025-06-05T20:10:54,-0.029524824470403766,0.0936427108493877,-0.17240759512194961
2025-06-05T20:11:48,-0.028347329682794232,0.10001611664930853,-0.17264578843923706
2025-06-05T20:12:42,-0.026794855244392773,0.10840140384578077,-0.17177087892546536
2025-06-05T20:13:36,-0.02487622345012029,0.118725726532581,-0.16920761786574814
2025-06-05T20:14:30,-0.02261963250837162,0.1307822788975972,-0.1643852110172274
2025-06-05T20:15:24,-0.0200719459017403,0.1442278154726765,-0.15679163162154522
2025-06-05T20:16:18,-0.0172951357764377,0.15859879344994443,-0.14602576296066258
2025-06-05T20:17:12,-0.014360859925645909,0.17334375011269787,-0.1318390457159439
2025-06-05T20:18:06,-0.011344335729950156,0.18786659023356567,-0.11416058247976928
2025-06-05T20:19:00,-0.008318618976895946,0.20157392265666063,-0.09310299117059356
2025-06-05T20:19:54,-0.005350127318074172,0.21391963879505546,-0.06894980456945392
2025-06-05T20:20:48,-0.0024958388615826874,0.22444132889260737,-0.042128064065544216
2025-06-05T20:21:42,0.00019785519559022314,0.23278534376496487,-0.013171415416010399
2025-06-05T20:22:36,0.0026950556235556355,0.23871967874003666,0.01732067074304628
2025-06-05T20:23:30,0.004969673551239957,0.242135811630597,0.04872275360433181
2025-06-05T20:24:24,0.007004863995233936,0.24304181475025552,0.08041906173104742
2025-06-05T20:25:18,0.008793117745463064,0.24154940079508863,0.11183329250908368
2025-06-05T20:26:12,0.010337229098749793,0.23785721354560754,0.14245231159382538
2025-06-05T20:27:06,0.011651938296237634,0.23223194718784443,0.17184428136503943
2025-06-05T20:28:00,0.012765632370193895,0.22498812028991247,0.19967190237534344
2025-06-05T20:28:54,0.013721176518723215,0.2164668267203632,0.2257011055788713
2025-06-05T20:29:48,0.014574824505111512,0.2070136945661671,0.24980493970834255
2025-06-05T20:30:42,0.01539227256039654,0.19695661957832072,0.27196184887981684
2025-06-05T20:31:36,0.016241283997303776,0.18658449091032261,0.2922472847344611
2025-06-05T20:32:30,0.017180880294688502,0.17612889904476242,0.3108178104299779
2025-06-05T20:33:24,0.018247786671378753,0.16575147764434345,0.32788757803279783
2025-06-05T20:34:18,0.019441531629295773,0.15553985914897983,0.3436982159972636
2025-06-05T20:35:12,0.020710234225684545,0.14551503802105978,0.3584845460728905
2025-06-05T20:36:06,0.02193962017963679,0.13565211988019715,0.3724398543930141
2025-06-05T20:37:00,0.02294821928410049,0.1259149306881202,0.38568530962011116
2025-06-05T20:37:54,0.023492120220032355,0.11630270612551093,0.3982482130318812
2025-06-05T20:38:48,0.023283164937108296,0.10690389596039652,0.4100528652165549
2025-06-05T20:39:42,0.022024735412828386,0.09794763378903934,0.4209259508015936
2025-06-05T20:40:36,0.01946797452306905,0.08983745962922618,0.4306157744382339
2025-06-05T20:41:30,0.015485571864432198,0.0831459581263027,0.4388219968423446
2025-06-05T20:42:24,0.010147409895627369,0.07854890806356235,0.4452304348873386
2025-06-05T20:43:18,0.003765605280967766,0.07669349719335343,0.4495466543513257
2025-06-05T20:44:12,-0.0031287055570112447,0.07803141874492243,0.4515228408656887
2025-06-05T20:45:06,-0.009888973313761202,0.08268442538038806,0.45097464444655727
2025-06-05T20:46:00,-0.01590003617293479,0.09040755643438379,0.447787712183969
2025-06-05T20:46:54,-0.020700677097325856,0.1006613521254369,0.44191647749906643
2025-06-05T20:47:48,-0.024035078230974016,0.11274368735463479,0.43337948699123574
2025-06-05T20:48:42,-0.02583485467989358,0.12591641124423936,0.4222555129555498
2025-06-05T20:49:36,-0.026164809996032275,0.13949065003956,0.40868295129574356
2025-06-05T20:50:30,-0.025165546929226717,0.1528698559622526,0.39286223327986164
2025-06-05T20:51:24,-0.023010471478232934,0.165566743052623,0.3750582973856641
2025-06-05T20:52:18,-0.01988060514192644,0.17720982483386707,0.35559867443237636
2025-06-05T20:53:12,-0.015953493931414684,0.18754766930178793,0.33486307783003716
2025-06-05T20:54:06,-0.011400701318482543,0.19645181862128896,0.3132624798798911
2025-06-05T20:55:00,-0.0063890600747375445,0.20391545786411874,0.2912087258452974
2025-06-05T20:55:54,-0.0010822715258886155,0.21004439439378284,0.26907866209579995
2025-06-05T20:56:48,0.004359160334102796,0.2150385904758431,0.24717852159632955
2025-06-05T20:57:42,0.00978050896111755,0.219164952358602,0.22571443121890652
2025-06-05T20:58:36,0.015037871568187368,0.22272411546541865,0.20477356940169697
2025-06-05T20:59:30,0.02000498358200654,0.22601492027875195,0.18431841231002627
2025-06-05T21:00:24,0.02458067884383816,0.2293001526568806,0.164194481125618
2025-06-05T21:01:18,0.028695662148850134,0.23277637089908937,0.14415067628480166
2025-06-05T21:02:12,0.032317247791775514,0.23655013175108472,0.12387033629307098
2025-06-05T21:03:06,0.03545099761451968,0.2406224708278536,0.10301099353391716
2025-06-05T21:04:00,0.03813854231928237,0.24488388418796803,0.08124970757131834
2025-06-05T21:04:54,0.04045153217332705,0.2491218378164256,0.058329758791260906
2025-06-05T21:05:48,0.04248230339412634,0.2530420175265731,0.034102919642403945
2025-06-05T21:06:42,0.0443324589784189,0.25630251952579525,0.008560555206124634
2025-06-05T21:07:36,0.04610097130303218,0.25855732910203916,-0.018152764829963572
2025-06-05T21:08:30,0.04787351623195388,0.25950260735117137,-0.045747126671758544
2025-06-05T21:09:24,0.049714510238883965,0.25891763762103737,-0.0738165880203087
2025-06-05T21:10:18,0.05166280040704376,0.2566926577550004,-0.10188527614861825
2025-06-05T21:11:12,0.05373128862162179,0.25283840692524173,-0.1294617377533726
2025-06-05T21:12:06,0.055910128460616264,0.24747637754516125,-0.156091255328288
2025-06-05T21:13:00,0.05817266529637296,0.24081318630990436,-0.1813967940605131
2025-06-05T21:13:54,0.06048306951188955,0.2331057598728426,-0.20510252060144593
2025-06-05T21:14:48,0.06280461208000715,0.2246252361526185,-0.22703824833017106
2025-06-05T21:15:42,0.06510764175988651,0.21562650917848247,-0.24712722568049744
2025-06-05T21:16:36,0.06737640748168167,0.20632789734674536,-0.26536224904186206
2025-06-05T21:17:30,0.0696138343804179,0.19690260934586035,-0.2817757907547987
2025-06-05T21:18:24,0.07184321027806251,0.18748149199847156,-0.2964091553855783
2025-06-05T21:19:18,0.07410558260901043,0.17816535987107968,-0.3092845429132429
2025-06-05T21:20:12,0.07645168419338738,0.16904473449890986,-0.32038312002444874
2025-06-05T21:21:06,0.07892757251331582,0.1602243630221809,-0.32963201343458187
2025-06-05T21:22:00,0.08155396822365549,0.15184882974623148,-0.3369030913106865
2025-06-05T21:22:54,0.08430048196860644,0.1441238193150743,-0.34202567652427907
2025-06-05T21:23:48,0.08705741831842018,0.13732567359751033,-0.34481332949075466
2025-06-05T21:24:42,0.08960959217055556,0.131790765770565,-0.3451016390270322
2025-06-05T21:25:36,0.09161873889149026,0.12787694001456815,-0.34279048384604804
2025-06-05T21:26:30,0.09262395636780163,0.12589287746532968,-0.3378818751945891
2025-06-05T21:27:24,0.09207299651524037,0.12599913948174793,-0.33050448474092664
2025-06-05T21:28:18,0.08939868043221905,0.1280986381577455,-0.3209186995482412
2025-06-05T21:29:12,0.08414737031670923,0.13175422782892574,-0.3095008150761538
2025-06-05T21:30:06,0.0761409599396727,0.1361877716197386,-0.29671019068712157
2025-06-05T21:31:00,0.06561220407357281,0.14040468537217932,-0.28304705087122894
2025-06-05T21:31:54,0.053227862729596474,0.14342947384112947,-0.2690098783370184
2025-06-05T21:32:48,0.03995300437315579,0.1445566496629038,-0.2550598385673549
2025-06-05T21:33:42,0.026807332364637435,0.1434954018009152,-0.24159630550313535
2025-06-05T21:34:36,0.014634002027263242,0.14035586756764504,-0.22894383993325088
